index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
1736	J. Inhibition	A. Treat	1	ROMK	heart failure	Inhibitors of ROMK represent a target for novel diuretics for the treatment of hypertension and/or heart failure.
1737	I. None	C. Cause	1	leptin	coronary heart disease	Leptin, an adipocyte-derived protein, regulating food intake and metabolism has been implicated in the development of coronary heart disease.
1738	D.1 Mutation	E. Associate	1	LRP6	coronary artery disease	Mutations in the genes low-density lipoprotein (LDL) receptor-related protein-6 (LRP6) and myocyte enhancer factor 2A (MEF2A) were reported in families with coronary artery disease (CAD).
1739	I. None	E. Associate	0	angiotensin converting enzyme 2	myocardial infarction	Role of circulating angiotensin converting enzyme 2 in left ventricular remodeling following myocardial infarction: a prospective controlled study.
1740	D.1 Mutation	H. Benefit	1	BRG1	stroke	BRG1 variant rs1122608 on chromosome 19p13.2 confers protection against stroke and regulates expression of pre-mRNA-splicing factor SFRS3.
1741	A. Expression	E. Associate	0	basic fibroblast growth factor	myocardial infarction	The expression of basic fibroblast growth factor (bFGF) was first studied in 61 cases of early myocardial infarction.
1742	J. Inhibition	A. Treat	1	ACE	congestive heart failure	Captopril is an angiotensin converting enzyme (ACE) inhibitor which has been used extensively in the treatment of patients with hypertension and congestive heart failure.
1743	I. None	H. Benefit	1	adropin	coronary artery disease	Adropin is a newly-identified energy homeostasis protein with a potential protective effect against coronary artery disease (CAD).
1744	D.1 Mutation	C. Cause	1	LEMD2	cardiomyopathy	Characterization of a Unique Form of Arrhythmic Cardiomyopathy Caused by Recessive Mutation in LEMD2.
1745	M.3 Gene silencing	H. Benefit	1	apolipoprotein B	cardiovascular disease	Since previous studies have linked the genetic mutations of Apolipoprotein B (ApoB) to the low density lipoprotein (LDL) cholesterol levels, it can be believed that the knockdown of ApoB by siRNA silencing is a useful method to reduce the cardiovascular disease.
1746	J. Inhibition	A. Treat	1	ACE	heart failure	Post infarct heart failure: what to do in addition to ACE inhibition.
1747	I. None	A. Treat	1	tissue-type plasminogen activator	stroke	Stroke is a disease of aging affecting millions of people worldwide, and recombinant tissue-type plasminogen activator (r-tPA) is the only treatment approved.
1748	L. Be regulated	H. Benefit	1	ST2	acute myocardial infarction	LncRNA ANRIL knockdown relieves myocardial cell apoptosis in acute myocardial infarction by regulating IL-33/ST2.
1749	J. Inhibition	A. Treat	1	thrombin	stroke	Dabigatran etexilate is an oral direct thrombin inhibitor approved for prevention of stroke and systemic embolization in patients with nonvalvular atrial fibrillation and for the treatment of venous thromboembolism.
1750	J. Inhibition	A. Treat	1	angiotensin II	heart failure	Angiotensin II antagonists--therapeutic benefits spanning the cardiovascular disease continuum from hypertension to heart failure and diabetic nephropathy.
1751	I. None	H. Benefit	1	hepatocyte growth factor	ischemic heart disease	Some angiogenic factors, including hepatocyte growth factor (HGF), basic fibroblast growth factor (bFGF), and vascular endothelial growth factor (VEGF), have been reported to promote angiogenesis and improve myocardial perfusion in experimental models of ischemic heart disease.
1752	D.1 Mutation	C. Cause	1	SRSF2	ataxia telangiectasia	Here we report a chain of events triggered by multiple splicing factor mutations, especially high-risk alleles in SRSF2 and U2AF1, including elevated R-loops, replication stress, and activation of the ataxia telangiectasia and Rad3-related protein (ATR)-Chk1 pathway.
1753	J. Inhibition	A. Treat	1	thrombin	stroke	To ascertain the prevalence of overweight and obesity in patients with nonvalvular AF, their influence on adverse events, and the relation with anticoagulation control, we performed this post hoc analysis of the pooled Stroke Prevention using an Oral Thrombin Inhibitor in patients with atrial Fibrillation (SPORTIF) III and V data sets.
1754	D.1 Mutation	C. Cause	1	GAA	pompe disease	Pompe disease is caused by mutations in the gene encoding the lysosomal glycogen-metabolizing enzyme, acid-alpha glucosidase (GAA).
1755	J. Inhibition	A. Treat	1	ACE	heart failure	To determine whether specific angiotensin II receptor blockade with losartan offers safety and efficacy advantages in the treatment of heart failure over angiotensin-converting-enzyme (ACE) inhibition with captopril, the ELITE study compared losartan with captopril in older heart-failure patients.
1756	D.1 Mutation	C. Cause	1	transthyretin	cardiomyopathy	Hereditary ATTR amyloid cardiomyopathy is defined as the intramyocardial deposition of amyloid fibrils derived from the mutation of transthyretin (TTR).
1757	D.1 Mutation	C. Cause	1	KCNJ2	arrhythmia	Andersen-Tawil syndrome (ATS) is a rare arrhythmia disorder caused by a mutation in the KCNJ2 gene.
1758	L. Be regulated	E. Associate	1	GATA4	heart failure	Regulation of Cardiac Transcription Factor GATA4 by Post-Translational Modification in Cardiomyocyte Hypertrophy and Heart Failure.
1759	D.5 Polymorphism	E. Associate	0	phosphodiesterase 4D	ischemic stroke	Relationship of phosphodiesterase 4D (PDE4D) gene polymorphisms with risk of ischemic stroke: a hospital based case-control study.
1760	J. Inhibition	A. Treat	1	ACE	heart failure	Standard triple therapy for symptomatic heart failure consists of an angiotensin-converting enzyme (ACE) inhibitor, digoxin, and a diuretic.
1761	D.1 Mutation	E. Associate	0	MYH7	hypertrophic cardiomyopathy	Prevalence and Phenotypic Expression of Mutations in the MYH7, MYBPC3 and TNNT2 Genes in Families with Hypertrophic Cardiomyopathy in the South of Brazil: A Cross-Sectional Study.
1762	A. Expression	E. Associate	0	vwf	transient ischaemic attack	In a case-control study of 105 cases of transient ischaemic attack and minor ischaemic stroke, and 241 controls, data were available on levels of the haemostatic factors-von Willebrand factor (vWF), plasminogen activator inhibitor-1 (PAI), tissue plasminogen activator (TPA) and factor VII (FVII).
1763	L. Be regulated	H. Benefit	1	DPP4	cerebral ischemia	MiR-29a protects against cerebral ischemia injury by targeting DPP4 through TGF-β signaling pathway.
1764	J. Inhibition	A. Treat	1	angiotensin converting enzyme	heart disease	Angiotensin converting enzyme (ACE) inhibitors are able to modify the actions of the renin-angiotensin system, and are indicated for the treatment of hypertension and heart disease.
1765	J. Inhibition	H. Benefit	1	SGLT2	heart failure	Areas covered: In this paper, the authors critically discuss the background, trial design, results and implications of a recent CVOT [NCT01730534; DECLARE-TIMI 58 study], which demonstrated that dapagliflozin was non-inferior to placebo in terms of major adverse cardiovascular events, and superior for the occurrence of hospitalization for heart failure (HF) and composite renal endpoints, thus confirming the cardiovascular benefit of sodium-glucose co-transporter-2 (SGLT2) inhibitors.
1766	L. Be regulated	C. Cause	1	SOCS3	stroke	In conclusion, induction of miR-3473b, which is likely targeted to SOCS3, contributes to stroke pathogenesis by enhancing post-stroke neuroinflammation injury.
1767	J. Inhibition	A. Treat	1	GPR4	myocardial infarction	Identification of a Potent and Selective GPR4 Antagonist as a Drug Lead for the Treatment of Myocardial Infarction.
1768	D.1 Mutation	C. Cause	1	transthyretin	cardiomyopathy	Mutation in the transthyretin (TTR) gene may clinically manifest as cardiomyopathy.
1769	D.1 Mutation	C. Cause	1	DNM2	centronuclear myopathy	Centronuclear myopathy with neonatal onset caused by a DNM2 mutation in the C-terminal part of the pleckstrin homology domain may have a favorable prognosis and follow a course similar to adult-onset centronuclear myopathy.
1770	A. Expression	E. Associate	1	natriuretic peptide	chronic heart failure	Understanding and making good use of changes in natriuretic peptide levels in chronic heart failure.
1771	A.1 Over-expression	E. Associate	1	tissue factor	heart failure	Neurohormonal activation does not explain elevated tissue factor expression in heart failure.
1772	A.1 Over-expression	H. Benefit	1	nerve growth factor	cerebral ischemia	Lettuce glycoside B ameliorates cerebral ischemia reperfusion injury by increasing nerve growth factor and neurotrophin-3 expression of cerebral cortex in rats.
1773	J. Inhibition	H. Benefit	1	TOR	cardiomyopathy	Previously, pharmacological studies using rapamycin have suggested a cardioprotective effect of TOR signaling inhibition on cardiomyopathy.
1774	A. Expression	E. Associate	0	toll like receptor 4	sudden cardiac death	To investigate the Toll like receptor 4 (TLR4) expression in the coronary atherosclerotic plaques in patients died from sudden cardiac death (SCD) or non SCD.
1775	L. Be regulated	E. Associate	1	ST2	heart failure	Modulation of IL-33/ST2 system in postinfarction heart failure: correlation with cardiac remodelling markers.
1776	D.5 Polymorphism	C. Cause	1	XPF	ischemic stroke	These data indicate that XPF might play an important role in the pathophysiological process of ischemic stroke, and the 30028T/C polymorphism might be associated with ischemic stroke susceptibility in a Chinese Han population.
1777	I. None	B. Target	1	NAMPT	ischemic stroke	Most recently, studies have demonstrated several mechanisms by which NAMPT might serve as a therapeutic target against ischemic stroke, including cerebroprotection in the acute phase as well as vascular repair and neurogenesis in the chronic phase.
1778	I. None	B. Target	1	SMP30	heart failure	SMP30 has a cardio-protective role by anti-oxidative and anti-apoptotic effects in DOX-induced cardiotoxicity, and can be a new therapeutic target to prevent DOX-induced heart failure.
1779	A.1 Over-expression	E. Associate	0	ET	cerebral ischemia	We hypothesize that cerebral ischemia leads to enhanced expression of endothelin (ET), 5-hydroxytryptamine (5-HT), and angiotensin II (ANG II) receptors in the vascular smooth muscle cells.
1780	J. Inhibition	A. Treat	1	angiotensin converting enzyme	congestive heart failure	Orally active angiotensin converting enzyme (ACE) inhibitors have been successfully used in the treatment of congestive heart failure and hypertension.
1781	I. None	E. Associate	0	tumor necrosis factor alpha	acute myocardial infarction	The present work was undertaken to clarify the role of Tumor Necrosis Factor Alpha (TNF-alpha) in acute myocardial infarction (AMI).
